Country,Year,Tech_Wave,GDP_Growth,Unemployment,GDP_per_Worker_PPP,R&D_Expenditure_Percentage,Patent_Apps_Residents,HighTech_Exports_Percentage
Japan,2009,Tech2.0,-1.0,4.0,37800,3.10,316000,17.6
Japan,2010,Tech2.0,1.0,4.0,38000,3.10,315000,17.5
Japan,2011,Tech2.0,0.5,4.1,38200,3.10,314000,17.5
Japan,2012,Tech2.0,0.3,4.1,38400,3.10,313000,17.3
Japan,2013,Tech3.0,0.2,4.0,38600,3.09,312000,17.2
Japan,2014,Tech3.0,0.1,4.0,38800,3.08,311000,17.1
Japan,2015,Tech3.0,0.0,4.0,39000,3.07,310000,17.0
Japan,2016,Tech3.0,0.1,4.0,39200,3.06,309000,16.9
Japan,2017,Tech3.0,0.2,4.0,39400,3.05,308000,16.8
Japan,2018,Tech3.0,0.3,4.0,39600,3.05,307000,16.7
Japan,2019,Tech3.0,0.2,4.0,39800,3.04,306000,16.6
Japan,2020,Tech3.0,-0.5,4.1,40000,3.04,305000,16.5
Japan,2021,Tech3.0,0.1,4.1,40200,3.03,304000,16.5
Japan,2022,Tech3.0,0.0,4.1,40400,3.03,303000,16.4
Japan,2023,Tech3.0,0.1,4.1,40600,3.03,302000,16.4
Japan,2024,Tech3.0,0.0,4.1,40800,3.03,301000,16.3
Russia,1995,Tech1.0,4.0,8.0,12000,1.0,18000,5.0
Russia,1996,Tech1.0,4.2,7.9,12150,1.0,18200,5.2
Russia,1997,Tech1.0,4.1,7.8,12300,1.0,18400,5.3
Russia,1998,Tech1.0,3.8,7.7,12450,1.0,18600,5.4
Russia,1999,Tech1.0,3.9,7.8,12600,1.0,18800,5.5
Russia,2000,Tech1.0,3.7,8.0,12750,1.0,19000,5.6
Russia,2001,Tech1.0,3.6,8.1,12900,1.0,19200,5.7
Russia,2002,Tech1.0,3.5,8.2,13050,1.0,19400,5.8
Russia,2003,Tech2.0,3.8,8.0,13200,1.1,20000,6.0
Russia,2004,Tech2.0,4.0,7.9,13350,1.1,20500,6.2
Russia,2005,Tech2.0,4.1,7.8,13500,1.1,21000,6.3
Russia,2006,Tech2.0,4.2,7.8,13650,1.1,21500,6.4
Russia,2007,Tech2.0,4.0,7.7,13800,1.1,22000,6.5
Russia,2008,Tech2.0,3.8,7.8,13950,1.1,22500,6.6
Russia,2009,Tech2.0,3.5,8.0,14100,1.1,23000,6.5
Russia,2010,Tech2.0,3.6,8.1,14250,1.1,23500,6.5
Russia,2011,Tech2.0,3.7,8.0,14400,1.1,24000,6.5
Russia,2012,Tech2.0,3.8,8.0,14550,1.1,24500,6.6
Russia,2013,Tech3.0,3.9,8.0,14700,1.1,25000,6.6
Russia,2014,Tech3.0,4.0,7.9,14850,1.1,25500,6.7
Russia,2015,Tech3.0,4.1,7.8,15000,1.1,26000,6.8
Russia,2016,Tech3.0,4.2,7.8,15150,1.1,26500,6.9
Russia,2017,Tech3.0,4.0,7.7,15300,1.1,27000,7.0
Russia,2018,Tech3.0,3.9,7.7,15450,1.1,27500,7.0
Russia,2019,Tech3.0,3.8,7.8,15600,1.1,28000,7.1
Russia,2020,Tech3.0,3.7,7.9,15750,1.1,28500,7.1
Russia,2021,Tech3.0,3.8,7.9,15900,1.1,29000,7.2
Russia,2022,Tech3.0,3.9,7.9,16050,1.1,29500,7.2
Russia,2023,Tech3.0,4.0,7.8,16200,1.1,30000,7.3
Russia,2024,Tech3.0,4.1,7.8,16350,1.1,30500,7.3
